date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:12:58	187/187	---M-Z	200	added ('OK')	text/plain	etag:%221d2-5f8a5d3194f01-gzip+br+gzip%22	https://www.tutorialspoint.com/robots.txt		(from )
23:13:00	30155/30155	---M-Z	200	added ('OK')	text/html	date:Mon,%2005%20Jun%202023%2015:51:02%20GMT	https://www.tutorialspoint.com/fuelphp/	www.tutorialspoint.com/fuelphp/index.html	(from )
23:13:00	30155/30155	---M-Z	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2007:10:37%20GMT	https://www.tutorialspoint.com/fuelphp/index.htm	www.tutorialspoint.com/fuelphp/index-2.html	(from https://www.tutorialspoint.com/fuelphp/)
23:13:01	12821/12821	---M--	200	added ('OK')	image/jpeg	etag:%223215-5c8329ddd4f80%22	https://www.tutorialspoint.com/fuelphp/images/fuelphp-mini-logo.jpg	www.tutorialspoint.com/fuelphp/images/fuelphp-mini-logo.jpg	(from https://www.tutorialspoint.com/fuelphp/)
23:13:03	34301/34301	---M-Z	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2007:12:55%20GMT	https://www.tutorialspoint.com/fuelphp/fuelphp_introduction.htm	www.tutorialspoint.com/fuelphp/fuelphp_introduction.html	(from https://www.tutorialspoint.com/fuelphp/)
23:13:04	38209/38209	---M-Z	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2012:52:28%20GMT	https://www.tutorialspoint.com/fuelphp/fuelphp_installation.htm	www.tutorialspoint.com/fuelphp/fuelphp_installation.html	(from https://www.tutorialspoint.com/fuelphp/)
23:13:04	34375/34375	---M-Z	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2019:09:31%20GMT	https://www.tutorialspoint.com/fuelphp/fuelphp_architecture_overview.htm	www.tutorialspoint.com/fuelphp/fuelphp_architecture_overview.html	(from https://www.tutorialspoint.com/fuelphp/)
23:13:06	35487/35487	---M-Z	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2019:09:31%20GMT	https://www.tutorialspoint.com/fuelphp/fuelphp_simple_web_application.htm	www.tutorialspoint.com/fuelphp/fuelphp_simple_web_application.html	(from https://www.tutorialspoint.com/fuelphp/)
23:13:07	34276/34276	---M-Z	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2012:33:34%20GMT	https://www.tutorialspoint.com/fuelphp/fuelphp_configuration.htm	www.tutorialspoint.com/fuelphp/fuelphp_configuration.html	(from https://www.tutorialspoint.com/fuelphp/)
23:13:08	35921/35921	---M-Z	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2007:51:50%20GMT	https://www.tutorialspoint.com/fuelphp/fuelphp_controllers.htm	www.tutorialspoint.com/fuelphp/fuelphp_controllers.html	(from https://www.tutorialspoint.com/fuelphp/)
23:13:09	33780/33780	---M-Z	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2014:51:04%20GMT	https://www.tutorialspoint.com/fuelphp/fuelphp_routing.htm	www.tutorialspoint.com/fuelphp/fuelphp_routing.html	(from https://www.tutorialspoint.com/fuelphp/)
23:13:10	37537/37537	---M-Z	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2019:09:34%20GMT	https://www.tutorialspoint.com/fuelphp/fuelphp_requests_and_response.htm	www.tutorialspoint.com/fuelphp/fuelphp_requests_and_response.html	(from https://www.tutorialspoint.com/fuelphp/)
23:13:11	42039/42039	---M-Z	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2012:15:06%20GMT	https://www.tutorialspoint.com/fuelphp/fuelphp_views.htm	www.tutorialspoint.com/fuelphp/fuelphp_views.html	(from https://www.tutorialspoint.com/fuelphp/)
23:13:11	31491/31491	---M-Z	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2011:52:54%20GMT	https://www.tutorialspoint.com/fuelphp/fuelphp_presenters.htm	www.tutorialspoint.com/fuelphp/fuelphp_presenters.html	(from https://www.tutorialspoint.com/fuelphp/)
23:13:13	62935/62935	---M-Z	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2007:07:57%20GMT	https://www.tutorialspoint.com/fuelphp/fuelphp_models_and_database.htm	www.tutorialspoint.com/fuelphp/fuelphp_models_and_database.html	(from https://www.tutorialspoint.com/fuelphp/)
23:13:14	44490/44490	---M-Z	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2017:55:16%20GMT	https://www.tutorialspoint.com/fuelphp/fuelphp_form_programming.htm	www.tutorialspoint.com/fuelphp/fuelphp_form_programming.html	(from https://www.tutorialspoint.com/fuelphp/)
